Header Reference (BOM Reference),Stock Code,Description,Notes,Sequence Number,Quantity,Instruction,Unit of MEachsure,Scrap Percentage,Fixed Quantity,Use Only in BOM Module
SA-FG-0012,FG-0001-MP,70mm Gate Hinge Pin - 25 OD x 140mm Shaft,,20,1,,Each,0,FALSE,FALSE
SA-FG-0012,FG-0003-MP,"70mm Gate Hinge Washer - 40 OD x 25,2 ID x 5mm",,30,2,,Each,0,FALSE,FALSE
SA-FG-0012,SA-FG-0014,70mm Pedestrian Flood Gate Hinge to Leaf,,40,1,,Each,0,FALSE,FALSE
SA-FG-0013,FG-0004-FP,70mm Gate Hinge Plate to Jamb - 15mm,,10,1,,Each,0,FALSE,FALSE
SA-FG-0013,FG-0008-FP,70mm Gate Hinge Plate to Jamb Lug - 15mm,,20,1,,Each,0,FALSE,FALSE
SA-FG-0013,FG-0007-FP,70mm Gate Hinge Stiffener - 10mm,,30,2,,Each,0,FALSE,FALSE
SA-FG-0014,PP-FIX-M6-0006,M6 Grease Nipple - A2,,10,1,,Each,0,FALSE,FALSE
SA-FG-0014,FG-0005-FP,70mm Gate Hinge Backing Plate - 12mm,,20,1,,Each,0,FALSE,FALSE
SA-FG-0014,FG-0009-FP,70mm Gate Hinge Plate to Leaf Lug - 15mm,,30,2,,Each,0,FALSE,FALSE
SA-FG-0014,FG-0002-MP,70mm Gate Hinge Barrel Housing - 60 OD x 80mm,,40,1,,Each,0,FALSE,FALSE
SA-FG-0014,PP-FG-0002,70mm Gate Hinge Oilite Bush - 32 OD x 25 ID x 30mm,,50,2,,Each,0,FALSE,FALSE
SA-FG-0015,SA-FG-0017,70mm Pedestrian Flood Gate External Handle Assembly,,10,1,,Each,0,FALSE,FALSE
SA-FG-0015,SA-FG-0016,70mm Pedestrian Flood Gate Internal Handle Assembly,,20,1,,Each,0,FALSE,FALSE
SA-FG-0015,PP-FIX-M16-0005,M16 Nyloc Nut - A2,,30,1,,Each,0,FALSE,FALSE
SA-FG-0015,SA-FG-0018,70mm Pedestrian Flood Gate Housing Stop,,40,1,,Each,0,FALSE,FALSE
SA-FG-0015,PP-FIX-M6-0019,M6x6 Grub Screw - A2,,50,1,,Each,0,FALSE,FALSE
SA-FG-0016,FG-0073-MP,Pedestrian Gate Latch Drive Block,,10,1,,Each,0,FALSE,FALSE
SA-FG-0016,FG-0074-MP,Pedestrian Gate Internal Handle,,20,1,,Each,0,FALSE,FALSE
SA-FG-0016,FG-0079-FP,Pedestrian Gate Latch Drive Stop Tab - 5mm,,30,1,,Each,0,FALSE,FALSE
SA-FG-0017,FG-0070-MP,Pedestrian Gate Latch Collar,,10,1,,Each,0,FALSE,FALSE
SA-FG-0017,FG-0069-MP,Pedestrian Gate External Handle,,20,1,,Each,0,FALSE,FALSE
SA-FG-0018,RAW-CHS-0005,CHS - 60.3 OD x 3.91mm Wall - 316,,10,0.025,,Metres,0,FALSE,FALSE
SA-FG-0018,FG-0080-FP,Pedestrian Gate Latch Housing Stop Tab - 5mm,,20,1,,Each,0,FALSE,FALSE
